Case_ID;Event;Type;Order;Is_Chord;Timestamp
1;D3;quarter note;1;False;2020-02-01T00:00:00.000000
1;D3;quarter note;2;False;2020-02-01T00:00:00.500000
1;Pause;quarter note;3;False;2020-02-01T00:00:01.000000
1;D3;quarter note;4;False;2020-02-01T00:00:01.500000
2;Pause;quarter note;5;False;2020-02-01T00:00:02.000000
2;D3;quarter note;6;False;2020-02-01T00:00:02.500000
2;D3;quarter note;7;False;2020-02-01T00:00:03.000000
2;Pause;quarter note;8;False;2020-02-01T00:00:03.500000
3;Pause;whole note;9;False;2020-02-01T00:00:05.500000
4;G3;quarter note;10;False;2020-02-01T00:00:06.000000
4;Pause;dotted half note;11;False;2020-02-01T00:00:07.500000
5;G3;quarter note;12;False;2020-02-01T00:00:08.000000
5;Pause;half note;13;False;2020-02-01T00:00:09.000000
5;E3;quarter note;14;False;2020-02-01T00:00:09.500000
6;Pause;half note;15;False;2020-02-01T00:00:10.500000
6;C3;quarter note;16;False;2020-02-01T00:00:11.000000
6;Pause;half note;17;False;2020-02-01T00:00:12.000000
7;F3;quarter note;18;False;2020-02-01T00:00:12.500000
7;Pause;quarter note;19;False;2020-02-01T00:00:13.000000
7;G3;quarter note;20;False;2020-02-01T00:00:13.500000
8;Pause;quarter note;21;False;2020-02-01T00:00:14.000000
8;F#3;quarter note;22;False;2020-02-01T00:00:14.500000
8;F3;quarter note;23;False;2020-02-01T00:00:15.000000
8;Pause;quarter note;24;False;2020-02-01T00:00:15.500000
9;E3;triplet half note;25;False;2020-02-01T00:00:16.166666
9;C4;triplet half note;26;False;2020-02-01T00:00:16.833332
9;E4;triplet half note;27;False;2020-02-01T00:00:17.499998
10;F4;quarter note;28;False;2020-02-01T00:00:17.999998
10;Pause;quarter note;29;False;2020-02-01T00:00:18.499998
10;D4;quarter note;30;False;2020-02-01T00:00:18.999998
10;E4;quarter note;31;False;2020-02-01T00:00:19.499998
11;Pause;quarter note;32;False;2020-02-01T00:00:19.999998
11;C4;quarter note;33;False;2020-02-01T00:00:20.499998
11;Pause;quarter note;34;False;2020-02-01T00:00:20.999998
11;A3;quarter note;35;False;2020-02-01T00:00:21.499998
12;B3;quarter note;36;False;2020-02-01T00:00:21.999998
12;G3;quarter note;37;False;2020-02-01T00:00:22.499998
12;Pause;half note;38;False;2020-02-01T00:00:23.499998
13;G3;quarter note;39;False;2020-02-01T00:00:23.999998
13;Pause;half note;40;False;2020-02-01T00:00:24.999998
13;E3;quarter note;41;False;2020-02-01T00:00:25.499998
14;Pause;half note;42;False;2020-02-01T00:00:26.499998
14;C3;quarter note;43;False;2020-02-01T00:00:26.999998
14;Pause;half note;44;False;2020-02-01T00:00:27.999998
15;F3;quarter note;45;False;2020-02-01T00:00:28.499998
15;Pause;quarter note;46;False;2020-02-01T00:00:28.999998
15;G3;quarter note;47;False;2020-02-01T00:00:29.499998
16;Pause;quarter note;48;False;2020-02-01T00:00:29.999998
16;F#3;quarter note;49;False;2020-02-01T00:00:30.499998
16;F3;quarter note;50;False;2020-02-01T00:00:30.999998
16;Pause;quarter note;51;False;2020-02-01T00:00:31.499998
17;E3;triplet half note;52;False;2020-02-01T00:00:32.166664
17;C4;triplet half note;53;False;2020-02-01T00:00:32.833330
17;E4;triplet half note;54;False;2020-02-01T00:00:33.499996
18;F4;quarter note;55;False;2020-02-01T00:00:33.999996
