Case_ID;Event;Type;Order;Is_Chord;Timestamp
19;E5;quarter note;67;True;2020-01-20T00:00:36.499996
19;Pause;quarter note;68;False;2020-01-20T00:00:36.999996
19;E4;quarter note;69;True;2020-01-20T00:00:37.499996
19;C5;quarter note;69;True;2020-01-20T00:00:37.499996
20;F4;quarter note;70;True;2020-01-20T00:00:37.999996
20;D5;quarter note;70;True;2020-01-20T00:00:37.999996
20;D4;quarter note;71;True;2020-01-20T00:00:38.499996
20;B4;quarter note;71;True;2020-01-20T00:00:38.499996
20;Pause;whole note;72;False;2020-01-20T00:00:40.499996
21;E5;quarter note;73;True;2020-01-20T00:00:40.999996
21;G5;quarter note;73;True;2020-01-20T00:00:40.999996
21;D#5;quarter note;74;True;2020-01-20T00:00:41.499996
21;F#5;quarter note;74;True;2020-01-20T00:00:41.499996
22;D5;quarter note;75;True;2020-01-20T00:00:41.999996
22;F5;quarter note;75;True;2020-01-20T00:00:41.999996
22;B4;quarter note;76;True;2020-01-20T00:00:42.499996
22;D#5;quarter note;76;True;2020-01-20T00:00:42.499996
22;Pause;quarter note;77;False;2020-01-20T00:00:42.999996
22;C5;quarter note;78;True;2020-01-20T00:00:43.499996
22;E5;quarter note;78;True;2020-01-20T00:00:43.499996
23;Pause;quarter note;79;False;2020-01-20T00:00:43.999996
23;E4;quarter note;80;True;2020-01-20T00:00:44.499996
23;G#4;quarter note;80;True;2020-01-20T00:00:44.499996
23;F4;quarter note;81;True;2020-01-20T00:00:44.999996
23;A4;quarter note;81;True;2020-01-20T00:00:44.999996
23;G4;quarter note;82;True;2020-01-20T00:00:45.499996
23;C5;quarter note;82;True;2020-01-20T00:00:45.499996
24;Pause;quarter note;83;False;2020-01-20T00:00:45.999996
24;C4;quarter note;84;True;2020-01-20T00:00:46.499996
24;A4;quarter note;84;True;2020-01-20T00:00:46.499996
24;E4;quarter note;85;True;2020-01-20T00:00:46.999996
24;C5;quarter note;85;True;2020-01-20T00:00:46.999996
24;F4;quarter note;86;True;2020-01-20T00:00:47.499996
24;D5;quarter note;86;True;2020-01-20T00:00:47.499996
25;Pause;half note;87;False;2020-01-20T00:00:48.499996
25;E5;quarter note;88;True;2020-01-20T00:00:48.999996
25;G5;quarter note;88;True;2020-01-20T00:00:48.999996
25;D#5;quarter note;89;True;2020-01-20T00:00:49.499996
25;F#5;quarter note;89;True;2020-01-20T00:00:49.499996
26;D5;quarter note;90;True;2020-01-20T00:00:49.999996
26;F5;quarter note;90;True;2020-01-20T00:00:49.999996
26;B4;quarter note;91;True;2020-01-20T00:00:50.499996
26;D#5;quarter note;91;True;2020-01-20T00:00:50.499996
26;Pause;quarter note;92;False;2020-01-20T00:00:50.999996
26;C5;quarter note;93;True;2020-01-20T00:00:51.499996
26;E5;quarter note;93;True;2020-01-20T00:00:51.499996
27;Pause;quarter note;94;False;2020-01-20T00:00:51.999996
27;F5;quarter note;95;True;2020-01-20T00:00:52.499996
27;G5;quarter note;95;True;2020-01-20T00:00:52.499996
27;C6;quarter note;95;True;2020-01-20T00:00:52.499996
27;Pause;quarter note;96;False;2020-01-20T00:00:52.999996
27;F5;quarter note;97;True;2020-01-20T00:00:53.499996
27;G5;quarter note;97;True;2020-01-20T00:00:53.499996
27;C6;quarter note;97;True;2020-01-20T00:00:53.499996
28;F5;quarter note;98;True;2020-01-20T00:00:53.999996
28;G5;quarter note;98;True;2020-01-20T00:00:53.999996
28;C6;quarter note;98;True;2020-01-20T00:00:53.999996
28;Pause;whole note;99;False;2020-01-20T00:00:55.999996
29;Pause;quarter note;100;False;2020-01-20T00:00:56.499996
29;E5;quarter note;101;True;2020-01-20T00:00:56.999996
29;G5;quarter note;101;True;2020-01-20T00:00:56.999996
29;D#5;quarter note;102;True;2020-01-20T00:00:57.499996
