Case_ID;Event;Type;Order;Is_Chord;Timestamp
13;B3;eighth note;89;False;2020-02-01T00:00:20.571365
13;D4;eighth note;90;False;2020-02-01T00:00:20.785650
13;G4;eighth note;91;False;2020-02-01T00:00:20.999935
13;B4;eighth note;92;False;2020-02-01T00:00:21.214220
13;B3;eighth note;93;False;2020-02-01T00:00:21.428505
13;D4;eighth note;94;False;2020-02-01T00:00:21.642790
13;G4;eighth note;95;False;2020-02-01T00:00:21.857075
13;B4;eighth note;96;False;2020-02-01T00:00:22.071360
14;B3;eighth note;97;False;2020-02-01T00:00:22.285645
14;D4;eighth note;98;False;2020-02-01T00:00:22.499930
14;G4;eighth note;99;False;2020-02-01T00:00:22.714215
14;C5;eighth note;100;False;2020-02-01T00:00:22.928500
14;B3;eighth note;101;False;2020-02-01T00:00:23.142785
14;D4;eighth note;102;False;2020-02-01T00:00:23.357070
14;G4;eighth note;103;False;2020-02-01T00:00:23.571355
14;B4;eighth note;104;False;2020-02-01T00:00:23.785640
15;E4;eighth note;105;False;2020-02-01T00:00:23.999925
15;G4;eighth note;106;False;2020-02-01T00:00:24.214210
15;B4;eighth note;107;False;2020-02-01T00:00:24.428495
15;B4;eighth note;108;False;2020-02-01T00:00:24.642780
15;E4;eighth note;109;False;2020-02-01T00:00:24.857065
15;G4;eighth note;110;False;2020-02-01T00:00:25.071350
15;B4;eighth note;111;False;2020-02-01T00:00:25.285635
15;B4;eighth note;112;False;2020-02-01T00:00:25.499920
16;E4;eighth note;113;False;2020-02-01T00:00:25.714205
16;G4;eighth note;114;False;2020-02-01T00:00:25.928490
16;B4;eighth note;115;False;2020-02-01T00:00:26.142775
16;B4;eighth note;116;False;2020-02-01T00:00:26.357060
16;E4;eighth note;117;False;2020-02-01T00:00:26.571345
16;G4;eighth note;118;False;2020-02-01T00:00:26.785630
16;B4;eighth note;119;False;2020-02-01T00:00:26.999915
16;C5;eighth note;120;False;2020-02-01T00:00:27.214200
17;C4;eighth note;121;False;2020-02-01T00:00:27.428485
17;E4;eighth note;122;False;2020-02-01T00:00:27.642770
17;A4;eighth note;123;False;2020-02-01T00:00:27.857055
17;C5;eighth note;124;False;2020-02-01T00:00:28.071340
17;C4;eighth note;125;False;2020-02-01T00:00:28.285625
17;E4;eighth note;126;False;2020-02-01T00:00:28.499910
17;A4;eighth note;127;False;2020-02-01T00:00:28.714195
17;C5;eighth note;128;False;2020-02-01T00:00:28.928480
18;C4;eighth note;129;False;2020-02-01T00:00:29.142765
18;E4;eighth note;130;False;2020-02-01T00:00:29.357050
18;A4;eighth note;131;False;2020-02-01T00:00:29.571335
18;F5;eighth note;132;False;2020-02-01T00:00:29.785620
18;C4;eighth note;133;False;2020-02-01T00:00:29.999905
18;E4;eighth note;134;False;2020-02-01T00:00:30.214190
18;A4;eighth note;135;False;2020-02-01T00:00:30.428475
18;E5;eighth note;136;False;2020-02-01T00:00:30.642760
19;C4;eighth note;137;False;2020-02-01T00:00:30.857045
19;E4;eighth note;138;False;2020-02-01T00:00:31.071330
19;A4;eighth note;139;False;2020-02-01T00:00:31.285615
19;C5;eighth note;140;False;2020-02-01T00:00:31.499900
19;C4;eighth note;141;False;2020-02-01T00:00:31.714185
19;E4;eighth note;142;False;2020-02-01T00:00:31.928470
19;A4;eighth note;143;False;2020-02-01T00:00:32.142755
19;C5;eighth note;144;False;2020-02-01T00:00:32.357040
20;C4;eighth note;145;False;2020-02-01T00:00:32.571325
20;E4;eighth note;146;False;2020-02-01T00:00:32.785610
20;A4;eighth note;147;False;2020-02-01T00:00:32.999895
20;E5;eighth note;148;False;2020-02-01T00:00:33.214180
20;C4;eighth note;149;False;2020-02-01T00:00:33.428465
20;E4;eighth note;150;False;2020-02-01T00:00:33.642750
20;A4;eighth note;151;False;2020-02-01T00:00:33.857035
20;D5;eighth note;152;False;2020-02-01T00:00:34.071320
21;B3;eighth note;153;False;2020-02-01T00:00:34.285605
21;D4;eighth note;154;False;2020-02-01T00:00:34.499890
21;G4;eighth note;155;False;2020-02-01T00:00:34.714175
21;B4;eighth note;156;False;2020-02-01T00:00:34.928460
21;B3;eighth note;157;False;2020-02-01T00:00:35.142745
21;D4;eighth note;158;False;2020-02-01T00:00:35.357030
21;G4;eighth note;159;False;2020-02-01T00:00:35.571315
21;B4;eighth note;160;False;2020-02-01T00:00:35.785600
22;B3;eighth note;161;False;2020-02-01T00:00:35.999885
22;D4;eighth note;162;False;2020-02-01T00:00:36.214170
